intervention_type,stage,total_timesteps,mean_episode_reward,mean_episode_length,elapsed_time,iteration,frames_per_second,approx_kl_divergence,learning_rate,clip_fraction,entropy_loss,value_loss,policy_loss,policy_gradient_loss,explained_variance,clip_range,policy_std,num_updates,stage,intervention_type
angle,6,5357568,-0.88905394,397.22,272,11,165,0.06014102,0.00025,0.5357828776041667,-32.66106076041857,0.0361967153313647,-0.7509267926216125,-0.0944888189461683,0.5180018544197083,0.2,9.276386260986328,2280.0,6,angle
angle,6,5361664,-0.8960478,407.47,298,12,164,0.082773075,0.00025,0.5633809407552083,-32.862976457675295,0.0345022371979818,-0.7624181509017944,-0.0985436851306682,0.663001298904419,0.2,9.489355087280272,2295.0,6,angle
angle,6,5365760,-0.8293714,409.71,325,13,163,0.06324199,0.00025,0.5936065673828125,-33.04000913103422,0.0284208947685935,-0.7746589183807373,-0.109426884198668,0.6778165400028229,0.2,9.694295883178713,2310.0,6,angle
visual,2,5103616,1.1823562,441.59,11,1,358,,,,,,,,,,,,2,visual
visual,2,5107712,0.92939097,390.86,37,2,217,0.044038557,0.00025,0.4828837076822916,-23.200117089351014,0.0398550453780141,-0.5627697706222534,-0.0921941426199434,0.1270651817321777,0.2,3.1890082359313965,1365.0,2,visual
visual,2,5111808,0.88599265,363.63,63,3,193,0.06304462,0.00025,0.5531036376953125,-23.268422289689383,0.0440783081265787,-0.5791038870811462,-0.1051720730488644,0.5286191999912262,0.2,3.2192249298095703,1380.0,2,visual
visual,2,5115904,0.93944,344.14,89,4,183,0.059825007,0.00025,0.5580108642578125,-23.357726876934368,0.0311165308972704,-0.5767659544944763,-0.1081806919231894,0.4489558935165405,0.2,3.246852397918701,1395.0,2,visual
visual,2,5120000,0.96675277,330.27,115,5,177,0.06278717,0.00025,0.5513804117838542,-23.42300122578939,0.0438251187403996,-0.576363742351532,-0.1052778177113699,0.5295166671276093,0.2,3.2829344272613525,1410.0,2,visual
visual,2,5124096,1.04264,302.97,141,6,173,0.05074637,0.00025,0.5099049886067708,-23.52304293513298,0.054261436908079,-0.5697487592697144,-0.0911781164148124,0.6550492346286774,0.2,3.314544200897217,1425.0,2,visual
visual,2,5128192,1.2171383,296.12,167,7,171,0.06047447,0.00025,0.576385498046875,-23.63742304742336,0.0333714627146643,-0.5823177099227905,-0.1071547624378581,0.6315197646617889,0.2,3.355775117874145,1440.0,2,visual
visual,2,5132288,1.138129,296.53,193,8,169,0.056251105,0.00025,0.5466471354166667,-23.74714111983776,0.0286159102145272,-0.5918752551078796,-0.1065945906930816,0.6228838860988617,0.2,3.39730167388916,1455.0,2,visual
visual,2,5136384,1.1168288,303.77,218,9,168,0.078268126,0.00025,0.582159423828125,-23.89789222578208,0.0218421001137661,-0.5874801278114319,-0.0987618734465892,0.5885923206806183,0.2,3.4586613178253174,1470.0,2,visual
visual,2,5140480,1.1656543,326.06,244,10,167,0.062419128,0.00025,0.5918162027994792,-24.02973370452722,0.0270578520969138,-0.5973653793334961,-0.1121255370778575,0.7374525964260101,0.2,3.511876583099365,1485.0,2,visual
visual,2,5144576,1.0251311,334.9,270,11,166,0.060258977,0.00025,0.570916748046875,-24.13827257057031,0.0216261226989445,-0.6026631593704224,-0.1101086315812911,0.6481108069419861,0.2,3.5486385822296143,1500.0,2,visual
visual,2,5148672,0.99689746,335.66,296,12,166,0.06743527,0.00025,0.5534250895182292,-24.279419788718226,0.0647311449827005,-0.5726954936981201,-0.0911370523133276,0.5868047475814819,0.2,3.60969877243042,1515.0,2,visual
visual,2,5152768,1.0361452,338.39,321,13,165,0.78591925,0.00025,0.6245157877604167,-24.37049039701621,0.0305500184457438,-0.601405143737793,-0.1096481484033574,0.5103590190410614,0.2,3.6511263847351074,1530.0,2,visual
mass,7,5369856,-0.73663026,412.33,10,1,375,,,,,,,,,,,,7,mass
mass,7,5373952,-0.5825683,405.34,37,2,216,0.06618215,0.00025,0.5667867024739583,-33.35055569211642,0.0282378679471245,-0.77986741065979,-0.1064486701701146,0.6610598564147949,0.2,10.015806198120115,2340.0,7,mass
mass,7,5378048,-0.31533822,408.07,64,3,190,0.059855245,0.00025,0.5561350504557292,-33.48891403476397,0.0256195802993412,-0.7768104076385498,-0.1039947427615212,0.4981396794319153,0.2,10.178431510925291,2355.0,7,mass
mass,7,5382144,-0.11588814,400.64,91,4,179,0.06446722,0.00025,0.5685821533203125,-33.64792755643527,0.0305419738351095,-0.7861798405647278,-0.1048541659821542,0.7489876747131348,0.2,10.363500595092772,2370.0,7,mass
mass,7,5386240,0.07310453,401.45,117,5,173,0.0651387,0.00025,0.5667877197265625,-33.82025104562442,0.0352234494746274,-0.7830901145935059,-0.1007645803275712,0.6762018203735352,0.2,10.557082176208496,2385.0,7,mass
mass,7,5390336,0.2942125,395.36,145,6,168,0.053692017,0.00025,0.5266245524088542,-33.97353745897611,0.0237610101369985,-0.7831442952156067,-0.101203833357431,0.4720280170440674,0.2,10.722867965698242,2400.0,7,mass
mass,7,5394432,0.49588093,394.7,172,7,166,0.05862636,0.00025,0.5436696370442708,-34.117863057057065,0.0321676850052123,-0.7864058017730713,-0.0962581142914132,0.4169852137565613,0.2,10.910544395446776,2415.0,7,mass
mass,7,5398528,0.6561797,373.39,198,8,165,0.18560204,0.00025,0.5252400716145833,-34.27213630477588,0.0334826746664475,-0.757989764213562,-0.0854182134850513,0.6803387403488159,0.2,11.105481147766112,2430.0,7,mass
mass,7,5402624,0.93185127,355.81,225,9,163,0.06546967,0.00025,0.5933217366536458,-34.39587082664172,0.0302460345628787,-0.8116130232810974,-0.1104757218039594,0.3516058921813965,0.2,11.266633987426758,2445.0,7,mass
mass,7,5406720,0.9494477,361.72,251,10,162,0.058537237,0.00025,0.5641042073567708,-34.52811290621757,0.031146516111039,-0.8004804849624634,-0.1090452109274338,0.611231118440628,0.2,11.440464973449709,2460.0,7,mass
mass,7,5410816,1.0032746,364.88,277,11,162,0.05797255,0.00025,0.5665761311848958,-34.66758854587873,0.0205897112648623,-0.8108133673667908,-0.1087962820015188,0.5821560025215149,0.2,11.636587142944336,2475.0,7,mass
mass,7,5414912,0.9343191,336.83,304,12,161,0.058604572,0.00025,0.5748291015625,-34.83596818049749,0.0277066568785812,-0.8215593695640564,-0.1115063512974302,0.5804302990436554,0.2,11.868000984191896,2490.0,7,mass
mass,7,5419008,1.0368744,344.49,330,13,160,0.066571936,0.00025,0.5992757161458333,-34.96438344120979,0.0472472084880185,-0.8064306974411011,-0.1096192810626234,0.5290892422199249,0.2,12.07278060913086,2505.0,7,mass
friction,5,5263360,0.9013826,452.4,10,1,392,,,,,,,,,,,,5,friction
friction,5,5267456,0.80144674,444.03,36,2,222,0.066367045,0.00025,0.5982981363932292,-29.103236466646194,0.0233685932490819,-0.6908122301101685,-0.1057999034271536,0.5814081132411957,0.2,6.2049736976623535,1950.0,5,friction
friction,5,5271552,0.76763064,439.5,63,3,194,0.07217049,0.00025,0.5712544759114583,-29.20466176172097,0.0284060299556585,-0.6946839690208435,-0.1037143976476121,0.5714653432369232,0.2,6.259802341461182,1965.0,5,friction
friction,5,5275648,0.6508786,442.47,89,4,182,0.07024377,0.00025,0.5861338297526042,-29.27176014582316,0.0183358552814752,-0.7122383117675781,-0.1110485835374371,0.7829668968915939,0.2,6.340217590332031,1980.0,5,friction
friction,5,5279744,0.53099775,444.4,115,5,176,0.073799044,0.00025,0.5686472574869792,-29.414709011713665,0.0169168607302708,-0.6911572217941284,-0.0956102436107661,0.3583983182907104,0.2,6.436546802520752,1995.0,5,friction
friction,5,5283840,0.33955997,441.31,138,6,176,0.0883026,0.00025,0.6268697102864583,-29.55652529001236,0.026997317513936,-0.7037205100059509,-0.110958672943525,0.6979464888572693,0.2,6.552938938140869,2010.0,5,friction
friction,5,5287936,0.4331018,436.08,165,7,173,0.074537806,0.00025,0.5880615234375,-29.668474734822908,0.0378035640213056,-0.7140782475471497,-0.108264489355012,0.6598360538482666,0.2,6.619788646697998,2025.0,5,friction
friction,5,5292032,0.40884468,437.73,191,8,170,0.078930356,0.00025,0.561834716796875,-29.848902373512587,0.0255577679956331,-0.7121501564979553,-0.1010778937352976,0.4264618158340454,0.2,6.784278869628906,2040.0,5,friction
friction,5,5296128,0.3999261,429.14,217,9,169,0.070915215,0.00025,0.5941029866536458,-30.00136359333992,0.0354303459690224,-0.7059842944145203,-0.1029615966603159,0.5978934466838837,0.2,6.883815288543701,2055.0,5,friction
friction,5,5300224,0.44562083,429.92,243,10,168,0.071014255,0.00025,0.6053629557291667,-30.190288085738818,0.0267606695061355,-0.7138379812240601,-0.1098347331746481,0.5714119374752045,0.2,7.020883560180664,2070.0,5,friction
friction,5,5304320,0.3583945,432.76,269,11,166,0.0635335,0.00025,0.5447489420572916,-30.323722350597382,0.0209266938191528,-0.7193658947944641,-0.1032988529249754,0.7759965658187866,0.2,7.111514568328857,2085.0,5,friction
friction,5,5308416,0.36388165,436.98,296,12,165,0.066195056,0.00025,0.589825439453125,-30.43463477194309,0.0253346387195051,-0.720853865146637,-0.1093477915837866,0.6661178171634674,0.2,7.205896854400635,2100.0,5,friction
friction,5,5312512,0.29527202,433.41,322,13,165,0.081040464,0.00025,0.6170908610026041,-30.60120586454868,0.0308727375852564,-0.718695878982544,-0.1082882077098474,0.7769263535737991,0.2,7.35882568359375,2115.0,5,friction
random,1,5050368,2.0352743,266.72,11,1,368,,,,,,,,,,,,1,random
random,1,5054464,1.8775079,281.57,36,2,223,0.03358264,0.00025,0.40665283203125,-21.635470686356225,0.0987835551844909,-0.4792205691337585,-0.0772605961493051,0.3363288640975952,0.2,2.683828353881836,1170.0,1,random
random,1,5058560,1.8642348,301.57,62,3,197,0.04088657,0.00025,0.4198516845703125,-21.746305644512177,0.0414619306796036,-0.5258244872093201,-0.0794038539165436,0.6352249085903168,0.2,2.718618631362915,1185.0,1,random
random,1,5062656,1.8797176,319.3,87,4,187,0.040596083,0.00025,0.4755645751953125,-21.878198741873103,0.0317321990878554,-0.5232275128364563,-0.0913704591810528,0.756540521979332,0.2,2.757141590118408,1200.0,1,random
random,1,5066752,1.7659507,339.3,112,5,181,0.04988959,0.00025,0.506060791015625,-22.12140375773112,0.1171916457707993,-0.4860802292823791,-0.0588943396699808,0.1209428906440734,0.2,2.84268569946289,1215.0,1,random
random,1,5070848,1.7642426,359.3,138,6,177,0.0411368,0.00025,0.4627970377604166,-22.216006941596667,0.0647646115966684,-0.5222374796867371,-0.0901435098751486,0.6780653595924377,0.2,2.8640618324279785,1230.0,1,random
random,1,5074944,1.7214574,381.8,163,7,175,0.051021874,0.00025,0.5308563232421875,-22.3248385677735,0.0964824858529027,-0.5201506614685059,-0.0845717458051998,0.4369925856590271,0.2,2.9085917472839355,1245.0,1,random
random,1,5079040,1.5748848,399.73,188,8,173,0.08102546,0.00025,0.5975087483723959,-22.49716108342012,0.1294317216437775,-0.542275607585907,-0.0913243069563274,0.4858410954475403,0.2,2.964563131332397,1260.0,1,random
random,1,5083136,1.4576712,419.73,213,9,172,0.03957784,0.00025,0.4652201334635417,-22.56865277191003,0.0578432571860806,-0.5369012355804443,-0.0923589863807137,0.6678892374038696,0.2,2.9782023429870605,1275.0,1,random
random,1,5087232,1.3762034,439.73,239,10,171,0.050730415,0.00025,0.538372802734375,-22.641277954975763,0.039030178564523,-0.5675422549247742,-0.1053436787049577,0.6041555106639862,0.2,2.998784303665161,1290.0,1,random
random,1,5091328,1.2981023,457.66,264,11,170,0.04173594,0.00025,0.4815388997395833,-22.716121591130893,0.0493901085661491,-0.5639551281929016,-0.0951025261589772,0.7105574905872345,0.2,3.0257999897003174,1305.0,1,random
random,1,5095424,1.0735073,460.24,289,12,170,0.048470315,0.00025,0.5394521077473958,-22.81036556959152,0.0430165165991638,-0.5637535452842712,-0.0970898861776125,0.5181412100791931,0.2,3.0689210891723637,1320.0,1,random
random,1,5099520,1.158713,464.97,311,13,171,0.06387389,0.00025,0.5749237060546875,-22.93323632776737,0.0297664566542759,-0.5625467300415039,-0.1058376816052865,0.614676833152771,0.2,3.100677728652954,1335.0,1,random
position,3,5156864,0.89242953,354.24,9,1,416,,,,,,,,,,,,3,position
position,3,5160960,0.73621744,368.3,32,2,253,0.071284674,0.00025,0.6043426513671875,-24.659700191020967,0.0216129631454047,-0.6071581840515137,-0.1044724065817717,0.5981925129890442,0.2,3.7825639247894287,1560.0,3,position
position,3,5165056,0.7150872,375.94,55,3,223,0.37755412,0.00025,0.6216868082682292,-24.84247016410033,0.0199411432886942,-0.6054141521453857,-0.1054439037618673,0.7314260900020599,0.2,3.85290265083313,1575.0,3,position
position,3,5169152,0.5297511,382.16,81,4,202,0.06554392,0.00025,0.5804697672526041,-25.05021787881851,0.0126107792772624,-0.615134060382843,-0.101979242413654,0.7790614366531372,0.2,3.945369243621826,1590.0,3,position
position,3,5173248,0.5709161,395.17,107,5,191,0.07319713,0.00025,0.5432688395182291,-25.201592735449477,0.025751757469455,-0.5988724231719971,-0.0913878130163842,0.5917660892009735,0.2,3.998386859893799,1605.0,3,position
position,3,5177344,0.42323267,408.42,133,6,184,0.06136231,0.00025,0.5969950358072916,-25.355354420344035,0.0127764824802094,-0.6223893761634827,-0.1081524468934124,0.7936371862888336,0.2,4.082553863525391,1620.0,3,position
position,3,5181440,0.37339348,411.49,159,7,180,0.07030057,0.00025,0.52930908203125,-25.50536745488644,0.0252094536738392,-0.5925257205963135,-0.082109154624292,0.4639034271240234,0.2,4.143472194671631,1635.0,3,position
position,3,5185536,0.39454284,426.87,185,8,176,0.20160235,0.00025,0.5931437174479167,-25.64099004566669,0.0327416585680718,-0.6180092692375183,-0.0983817784353353,0.7317326962947845,0.2,4.215590000152588,1650.0,3,position
position,3,5189632,0.44360065,437.98,211,9,174,0.07397114,0.00025,0.591864013671875,-25.8532899081707,0.014938680792693,-0.632565975189209,-0.101497882198843,0.7138985395431519,0.2,4.312632083892822,1665.0,3,position
position,3,5193728,0.5086443,443.79,237,10,172,0.07692395,0.00025,0.6012766520182292,-26.03846891820431,0.0165035479495903,-0.6405016183853149,-0.1063067122915526,0.7575660049915314,0.2,4.405550956726074,1680.0,3,position
position,3,5197824,0.2772147,449.79,263,11,171,0.05874304,0.00025,0.5698557535807292,-26.138195608059565,0.0096063434975803,-0.6528636813163757,-0.1120047291682567,0.7511665225028992,0.2,4.46160888671875,1695.0,3,position
position,3,5201920,0.22228895,450.77,289,12,169,0.085078076,0.00025,0.6056142171223958,-26.27900197704633,0.0167713254932702,-0.6370642185211182,-0.1057107964283204,0.6258448362350464,0.2,4.532778263092041,1710.0,3,position
position,3,5206016,0.3504746,462.49,315,13,168,0.07316689,0.00025,0.6055338541666667,-26.4491334905227,0.0232640424069055,-0.6444849967956543,-0.1096866892929635,0.8121390342712402,0.2,4.621490478515625,1725.0,3,position
goal,4,5210112,0.38028264,452.99,10,1,397,,,,,,,,,,,,4,goal
goal,4,5214208,0.45641765,449.87,36,2,224,0.068939894,0.00025,0.6002146402994791,-26.89645451207956,0.0258847962298508,-0.6468511819839478,-0.0984911020636597,0.6562549769878387,0.2,4.871724605560303,1755.0,4,goal
goal,4,5218304,0.25471476,453.41,62,3,197,0.17941679,0.00025,0.6340484619140625,-27.125806031624474,0.019109872799648,-0.6697837710380554,-0.113189761518879,0.6797439455986023,0.2,4.99526834487915,1770.0,4,goal
goal,4,5222400,0.53225046,453.41,84,4,193,0.069972605,0.00025,0.5927958170572917,-27.309934281309445,0.019870014260717,-0.6742868423461914,-0.1093107526040209,0.7433454096317291,0.2,5.089627265930176,1785.0,4,goal
goal,4,5226496,0.5565295,453.26,108,5,189,0.065887995,0.00025,0.587872314453125,-27.472746975223224,0.0261369071192651,-0.6582208275794983,-0.1034469845435523,0.6559348404407501,0.2,5.190043926239014,1800.0,4,goal
goal,4,5230592,0.6413617,447.53,134,6,183,0.06674964,0.00025,0.6060139973958333,-27.714956491192183,0.0174080505867702,-0.6688848733901978,-0.1076226045147147,0.6619331240653992,0.2,5.323107719421387,1815.0,4,goal
goal,4,5234688,0.696764,446.92,160,7,178,0.07256513,0.00025,0.5852610270182291,-27.86004365682602,0.0209354417573194,-0.6559916734695435,-0.1057270765423406,0.6675189733505249,0.2,5.402119159698486,1830.0,4,goal
goal,4,5238784,0.61336476,451.27,186,8,175,0.066783525,0.00025,0.6092437744140625,-28.00350677371025,0.0152841180623606,-0.6831457614898682,-0.1144073848481639,0.6970677673816681,0.2,5.511611461639404,1845.0,4,goal
goal,4,5242880,0.80681,451.27,212,9,173,0.061269328,0.00025,0.6032307942708334,-28.202923931678136,0.0166868322150548,-0.6825865507125854,-0.1105072408097233,0.7158110737800598,0.2,5.608843326568604,1860.0,4,goal
goal,4,5246976,0.8036258,455.9,238,10,171,0.06875746,0.00025,0.5856669108072917,-28.352989796797434,0.0227106601087143,-0.6815028786659241,-0.1080674615577057,0.6563126444816589,0.2,5.709132671356201,1875.0,4,goal
goal,4,5251072,0.78883356,455.75,264,11,170,0.0778071,0.00025,0.6098103841145833,-28.4447465578715,0.0137356580082268,-0.6932187080383301,-0.1101746355821281,0.6653657853603363,0.2,5.743448257446289,1890.0,4,goal
goal,4,5255168,0.74594605,455.75,291,12,168,0.06884143,0.00025,0.6011993408203125,-28.57927329937617,0.0134419083968775,-0.6797148585319519,-0.1017509491677628,0.7279113233089447,0.2,5.882198810577393,1905.0,4,goal
goal,4,5259264,0.7683508,468.46,317,13,167,0.08343309,0.00025,0.6167388916015625,-28.82476861079534,0.0241079255586858,-0.6897848844528198,-0.10168506173286,0.6433680057525635,0.2,6.036421298980713,1920.0,4,goal
