intervention_type,elapsed_time,mean_episode_length,frames_per_second,total_timesteps,iteration,mean_episode_reward,stage,policy_std,learning_rate,policy_gradient_loss,approx_kl_divergence,policy_loss,clip_fraction,value_loss,clip_range,explained_variance,num_updates,entropy_loss,stage,intervention_type
none,255,501.0,208,5206016,13,3.5108988,3,4.129160404205322,0.00025,-0.1021229411271633,0.06831464,-0.6165443658828735,0.5586751302083334,0.0291843904633424,0.2,0.8010475337505341,1725.0,-25.516396740078925,3,none
none,8,501.0,455,5369856,1,2.5686038,7,,,,,,,,,,,,7,none
none,30,501.0,271,5373952,2,2.5921087,7,7.597875118255615,0.00025,-0.0850750616429043,0.05653523,-0.6924323439598083,0.5083933512369792,0.0696983681826774,0.2,0.5053469240665436,2340.0,-30.907072366277376,7,none
none,51,501.0,240,5378048,3,2.5639606,7,7.686460971832275,0.00025,-0.0820077510094658,0.06446162,-0.669745922088623,0.5202219645182292,0.0969174223874385,0.2,0.4068325757980346,2355.0,-31.03874836663405,7,none
none,72,501.0,226,5382144,4,2.512907,7,7.800991535186768,0.00025,-0.0962833522358172,0.05547612,-0.7172883152961731,0.4986063639322917,0.0523701783424864,0.2,0.7322410643100739,2370.0,-31.136607336997987,7,none
none,93,501.0,218,5386240,5,2.3645387,7,7.910040378570557,0.00025,-0.0959618874083389,0.05830455,-0.7304093837738037,0.5236714680989584,0.0300685134080898,0.2,0.6802595555782318,2385.0,-31.28609783848127,7,none
none,115,501.0,213,5390336,6,2.2843957,7,8.008106231689453,0.00025,-0.0912387960687435,0.063946664,-0.7136310338973999,0.5187795003255208,0.0432339194618786,0.2,0.644904226064682,2400.0,-31.39723665614923,7,none
none,136,501.0,210,5394432,7,2.3177285,7,8.089428901672363,0.00025,-0.0815112357449834,0.049995743,-0.7165436148643494,0.4850555419921875,0.0274614836894519,0.2,0.6512672901153564,2415.0,-31.49588437974453,7,none
none,157,501.0,207,5398528,8,2.242103,7,8.176776885986328,0.00025,-0.0914238757975302,0.06742398,-0.7283110022544861,0.5260406494140625,0.0293436371110146,0.2,0.7068843841552734,2430.0,-31.597008487582208,7,none
none,178,501.0,206,5402624,9,2.3311067,7,8.323925971984863,0.00025,-0.0900194615819297,0.07376143,-0.7307066321372986,0.5233683268229167,0.0283619027482927,0.2,0.7476732730865479,2445.0,-31.712168189883236,7,none
none,199,501.0,204,5406720,10,2.3023362,7,8.459685325622559,0.00025,-0.0943319068603159,0.047184013,-0.7412314414978027,0.5076904296875,0.0198082190186444,0.2,0.7956836670637131,2460.0,-31.87249876757463,7,none
none,221,501.0,203,5410816,11,2.2858958,7,8.550795555114746,0.00025,-0.0825465473074776,0.04996546,-0.6903839111328125,0.4893605550130208,0.0635541214355422,0.2,0.6851032078266144,2475.0,-31.98686713774999,7,none
none,242,501.0,202,5414912,12,2.3004014,7,8.73064136505127,0.00025,-0.0905278231909809,0.06912403,-0.7333311438560486,0.55313720703125,0.0255747662386662,0.2,0.6891152560710907,2490.0,-32.15830910801888,7,none
none,263,501.0,202,5419008,13,2.3462293,7,8.878934860229492,0.00025,-0.0966321633243448,0.057240184,-0.7316403985023499,0.5212371826171875,0.0445201335727082,0.2,0.6841582655906677,2505.0,-32.295459220806755,7,none
none,9,271.0,426,5050368,1,2.4208133,1,,,,,,,,,,,,1,none
none,30,291.0,270,5054464,2,2.5319638,1,2.656255960464477,0.00025,-0.09565768573763,0.032974422,-0.5379899740219116,0.3969563802083333,0.0384851698142786,0.2,0.4393342137336731,1170.0,-21.55689822137356,1,none
none,51,311.0,240,5058560,3,2.5568817,1,2.66833233833313,0.00025,-0.0873323233657477,0.031637494,-0.5142492055892944,0.3841847737630208,0.0499720042445308,0.2,0.6884743571281433,1185.0,-21.611344768603644,1,none
none,71,331.0,228,5062656,4,2.6764126,1,2.6875061988830566,0.00025,-0.0835871680448084,0.038678475,-0.5236935615539551,0.402508544921875,0.0285969510640522,0.2,0.8135915249586105,1200.0,-21.66763419409593,1,none
none,92,351.0,221,5066752,5,2.8452911,1,2.728478193283081,0.00025,-0.0827065271400594,0.03811212,-0.5300434231758118,0.4175099690755208,0.0379195981338853,0.2,0.815343588590622,1215.0,-21.782903683185577,1,none
none,112,373.5,217,5070848,6,3.000713,1,2.752946376800537,0.00025,-0.090080242982367,0.039469685,-0.5339667797088623,0.4259450276692708,0.0339016058011717,0.2,0.7981507480144501,1230.0,-21.873092793424924,1,none
none,133,393.5,214,5074944,7,3.1115742,1,2.7702293395996094,0.00025,-0.0905576558887939,0.04445787,-0.5258325338363647,0.4679168701171875,0.0325759284348653,0.2,0.8371561765670776,1245.0,-21.944273114204407,1,none
none,153,413.5,213,5079040,8,3.2487574,1,2.7909457683563232,0.00025,-0.1007578433258458,0.042461585,-0.5438522696495056,0.4879241943359375,0.021628439851338,0.2,0.827163964509964,1260.0,-22.0030614087979,1,none
none,173,433.5,211,5083136,9,3.398095,1,2.8143861293792725,0.00025,-0.0825303959257629,0.053044677,-0.522720456123352,0.4306813557942708,0.024812030463363,0.2,0.7758316546678543,1275.0,-22.07057579755783,1,none
none,194,453.5,210,5087232,10,3.4659257,1,2.8462698459625244,0.00025,-0.0856665771153833,0.036180668,-0.5426517128944397,0.4140085856119792,0.021368279204277,0.2,0.8194151371717453,1290.0,-22.17309021850427,1,none
none,214,473.5,210,5091328,11,3.5773818,1,2.852163076400757,0.00025,-0.0929859024863011,0.046716347,-0.5457105040550232,0.471820068359375,0.0262365977144024,0.2,0.7271799445152283,1305.0,-22.212237761418024,1,none
none,234,496.0,209,5095424,12,3.8429272,1,2.883066415786743,0.00025,-0.0919965387841026,0.044285864,-0.5383294820785522,0.4718943277994791,0.0289859565906226,0.2,0.7668374180793762,1320.0,-22.287376869718237,1,none
none,254,501.0,208,5099520,13,3.8764925,1,2.9203572273254395,0.00025,-0.0917083233245648,0.04354558,-0.5505163073539734,0.4620035807291666,0.0230707254333538,0.2,0.8481364697217941,1335.0,-22.39219802717368,1,none
none,8,501.0,460,5263360,1,3.3006763,5,,,,,,,,,,,,5,none
none,30,501.0,271,5267456,2,3.2437644,5,5.098133563995361,0.00025,-0.1010889087240987,0.063873455,-0.6434012651443481,0.54967041015625,0.0243440740164563,0.2,0.7587502896785736,1950.0,-27.3767299503088,5,none
none,51,501.0,240,5271552,3,3.2221942,5,5.197449684143066,0.00025,-0.1033871888054515,0.06655405,-0.6642235517501831,0.5993804931640625,0.0210884596192045,0.2,0.6671438813209534,1965.0,-27.563124580184617,5,none
none,72,501.0,227,5275648,4,3.0898893,5,5.302582740783691,0.00025,-0.0945115787811422,0.07302193,-0.6553762555122375,0.5521525065104167,0.0262798194894761,0.2,0.6663329303264618,1980.0,-27.72087724506855,5,none
none,93,501.0,219,5279744,5,3.1166854,5,5.359152317047119,0.00025,-0.0822652582656398,0.8926456,-0.6287710070610046,0.56868896484375,0.029073171513058,0.2,0.6499477028846741,1995.0,-27.83977230290572,5,none
none,114,501.0,214,5283840,6,3.0471423,5,5.467810153961182,0.00025,-0.0965183816903542,0.069185205,-0.6675984859466553,0.5505808512369792,0.0203034601373171,0.2,0.7078031599521637,2010.0,-27.991308720906577,5,none
none,135,501.0,211,5287936,7,2.9684968,5,5.523482322692871,0.00025,-0.0958450575007494,0.074371465,-0.6607574820518494,0.5848734537760417,0.0244370683004187,0.2,0.725442111492157,2025.0,-28.114795807003976,5,none
none,156,501.0,209,5292032,8,2.8484864,5,5.562918186187744,0.00025,-0.0993956023055943,0.056460388,-0.6796079874038696,0.5441884358723958,0.0286136703856755,0.2,0.7268891036510468,2040.0,-28.15532800157865,5,none
